snapshot_date,model_id,model_name,vendor,context_length,usd_per_token_prompt,usd_per_token_completion,usd_per_token_input_cache_read,usd_per_token_input_cache_write,usd_per_mtok_prompt,usd_per_mtok_completion
2026-09-23,aion-labs/aion-2.0,AionLabs: Aion-2.0,aion-labs,131072.0,8e-07,1.6e-06,2e-07,,0.7999999999999999,1.5999999999999999
2026-09-23,aion-labs/aion-3.0,AionLabs: Aion-3.0,aion-labs,131072.0,3e-06,6e-06,7.5e-07,,3.0,6.0
2026-09-23,aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,aion-labs,131072.0,7e-07,1.4e-06,1.8e-07,,0.7,1.4
2026-09-23,aion-labs/aion-3.5,AionLabs: Aion 3.5,aion-labs,262144.0,3e-06,6e-06,7.5e-07,,3.0,6.0
2026-09-23,aion-labs/aion-3.5-mini,AionLabs: Aion 3.5 Mini,aion-labs,262144.0,7e-07,1.4e-06,1.8e-07,,0.7,1.4
2026-09-23,aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),aion-labs,32768.0,8e-07,1.6e-06,,,0.7999999999999999,1.5999999999999999
2026-09-23,amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,amazon,1000000.0,3e-07,2.5e-06,,,0.3,2.5
2026-09-23,amazon/nova-lite-v1,Amazon: Nova Lite 1.0,amazon,300000.0,6e-08,2.4e-07,,,0.06,0.24
2026-09-23,amazon/nova-micro-v1,Amazon: Nova Micro 1.0,amazon,128000.0,3.5e-08,1.4e-07,,,0.035,0.14
2026-09-23,amazon/nova-premier-v1,Amazon: Nova Premier 1.0,amazon,1000000.0,2.5e-06,1.25e-05,6.25e-07,,2.5,12.5
2026-09-23,amazon/nova-pro-v1,Amazon: Nova Pro 1.0,amazon,300000.0,8e-07,3.2e-06,,,0.7999999999999999,3.1999999999999997
2026-09-23,anthracite-org/magnum-v4-72b,Magnum v4 72B,anthracite-org,32768.0,2.5e-06,5e-06,,,2.5,5.0
2026-09-23,anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,anthropic,200000.0,2.5e-07,1.25e-06,3e-08,3e-07,0.25,1.25
2026-09-23,anthropic/claude-fable-5,Anthropic: Claude Fable 5,anthropic,1000000.0,1e-05,5e-05,1e-06,1.25e-05,10.0,50.0
2026-09-23,anthropic/claude-fable-5.1,Anthropic: Claude Fable 5.1,anthropic,1000000.0,1e-05,5e-05,2.5e-07,1.25e-05,10.0,50.0
2026-09-23,anthropic/claude-fable-5.1:batch,Anthropic: Claude Fable 5.1 (batch),anthropic,1000000.0,5e-06,2.5e-05,1.25e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-fable-5:batch,Anthropic: Claude Fable 5 (batch),anthropic,1000000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,anthropic,200000.0,1e-06,5e-06,1e-07,1.25e-06,1.0,5.0
2026-09-23,anthropic/claude-haiku-4.5:batch,Anthropic: Claude Haiku 4.5 (batch),anthropic,200000.0,5e-07,2.5e-06,5e-08,6.25e-07,0.5,2.5
2026-09-23,anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,anthropic,200000.0,1.5e-05,7.5e-05,1.5e-06,1.875e-05,15.0,75.0
2026-09-23,anthropic/claude-opus-4.1:batch,Anthropic: Claude Opus 4.1 (batch),anthropic,200000.0,7.5e-06,3.75e-05,7.5e-07,9.375e-06,7.5,37.5
2026-09-23,anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,anthropic,200000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-opus-4.5:batch,Anthropic: Claude Opus 4.5 (batch),anthropic,200000.0,2.5e-06,1.25e-05,2.5e-07,3.125e-06,2.5,12.5
2026-09-23,anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,anthropic,1000000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-opus-4.6:batch,Anthropic: Claude Opus 4.6 (batch),anthropic,1000000.0,2.5e-06,1.25e-05,2.5e-07,3.125e-06,2.5,12.5
2026-09-23,anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,anthropic,1000000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-opus-4.7:batch,Anthropic: Claude Opus 4.7 (batch),anthropic,1000000.0,2.5e-06,1.25e-05,2.5e-07,3.125e-06,2.5,12.5
2026-09-23,anthropic/claude-opus-4.8,Anthropic: Claude Opus 4.8,anthropic,1000000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-opus-4.8:batch,Anthropic: Claude Opus 4.8 (batch),anthropic,1000000.0,2.5e-06,1.25e-05,2.5e-07,3.125e-06,2.5,12.5
2026-09-23,anthropic/claude-opus-5,Anthropic: Claude Opus 5,anthropic,1000000.0,5e-06,2.5e-05,5e-07,6.25e-06,5.0,25.0
2026-09-23,anthropic/claude-opus-5.5,Anthropic: Claude Opus 5.5,anthropic,1000000.0,4e-06,2e-05,2e-07,5e-06,4.0,20.0
2026-09-23,anthropic/claude-opus-5.5:batch,Anthropic: Claude Opus 5.5 (batch),anthropic,1000000.0,2e-06,1e-05,1e-07,2.5e-06,2.0,10.0
2026-09-23,anthropic/claude-opus-5:batch,Anthropic: Claude Opus 5 (batch),anthropic,1000000.0,2.5e-06,1.25e-05,2.5e-07,3.125e-06,2.5,12.5
2026-09-23,anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,anthropic,200000.0,3e-06,1.5e-05,3e-07,3.75e-06,3.0,15.0
2026-09-23,anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,anthropic,1000000.0,3e-06,1.5e-05,3e-07,3.75e-06,3.0,15.0
2026-09-23,anthropic/claude-sonnet-4.5:batch,Anthropic: Claude Sonnet 4.5 (batch),anthropic,1000000.0,1.5e-06,7.5e-06,1.5e-07,1.875e-06,1.5,7.5
2026-09-23,anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6,anthropic,1000000.0,3e-06,1.5e-05,3e-07,3.75e-06,3.0,15.0
